Model,Language,Accuracy
Gemma-2-9b-it,bn,0.4207562349155269
Gemma-2-9b-it,de,0.6082059533386966
Gemma-2-9b-it,en,0.6460176991150443
Gemma-2-9b-it,es,0.6427996781979083
Gemma-2-9b-it,fr,0.6299275945293644
Gemma-2-9b-it,ja,0.44086886564762673
Gemma-2-9b-it,ru,0.5929203539823009
Gemma-2-9b-it,sw,0.49637972646822204
Gemma-2-9b-it,zh,0.4336283185840708
Gemma-2-9b-it,te,0.36444086886564764
Gemma-2-9b-it,th,0.415929203539823
CrystalChat,bn,0.002413515687851971
CrystalChat,de,0.14561544650040226
CrystalChat,en,0.2003218020917136
CrystalChat,es,0.16411906677393404
CrystalChat,fr,0.13837489943684633
CrystalChat,ja,0.05711987127916331
CrystalChat,ru,0.09895414320193081
CrystalChat,sw,0.012872083668543845
CrystalChat,zh,0.057924376508447305
CrystalChat,te,0.0
CrystalChat,th,0.011263073209975865
Llama-3.1-8B-Instruct,bn,0.12389380530973451
Llama-3.1-8B-Instruct,de,0.37650844730490746
Llama-3.1-8B-Instruct,en,0.5615446500402252
Llama-3.1-8B-Instruct,es,0.42799678197908286
Llama-3.1-8B-Instruct,fr,0.38535800482703136
Llama-3.1-8B-Instruct,ja,0.2936444086886565
Llama-3.1-8B-Instruct,ru,0.35317779565567176
Llama-3.1-8B-Instruct,sw,0.19710378117457764
Llama-3.1-8B-Instruct,zh,0.27835880933226065
Llama-3.1-8B-Instruct,te,0.03378921962992759
Llama-3.1-8B-Instruct,th,0.22204344328238135
Mathstral-7B-v0.1,bn,0.09493161705551086
Mathstral-7B-v0.1,de,0.43121480289621883
Mathstral-7B-v0.1,en,0.6387771520514883
Mathstral-7B-v0.1,es,0.500402252614642
Mathstral-7B-v0.1,fr,0.49637972646822204
Mathstral-7B-v0.1,ja,0.24456958970233306
Mathstral-7B-v0.1,ru,0.41110217216411904
Mathstral-7B-v0.1,sw,0.11343523732904263
Mathstral-7B-v0.1,zh,0.2823813354786806
Mathstral-7B-v0.1,te,0.030571198712791632
Mathstral-7B-v0.1,th,0.14802896218825423
Mistral-7B-Instruct-v0.3,bn,0.009654062751407884
Mistral-7B-Instruct-v0.3,de,0.22123893805309736
Mistral-7B-Instruct-v0.3,en,0.3177795655671762
Mistral-7B-Instruct-v0.3,es,0.2574416733708769
Mistral-7B-Instruct-v0.3,fr,0.2574416733708769
Mistral-7B-Instruct-v0.3,ja,0.10539018503620273
Mistral-7B-Instruct-v0.3,ru,0.20917135961383748
Mistral-7B-Instruct-v0.3,te,0.0008045052292839903
Mistral-7B-Instruct-v0.3,sw,0.02413515687851971
Mistral-7B-Instruct-v0.3,zh,0.1568785197103781
Mistral-7B-Instruct-v0.3,th,0.02654867256637168
aya-expanse-8b,bn,0.035398230088495575
aya-expanse-8b,de,0.42719227674979887
aya-expanse-8b,en,0.5446500402252614
aya-expanse-8b,es,0.47304907481898634
aya-expanse-8b,fr,0.47063555913113436
aya-expanse-8b,ja,0.35478680611423974
aya-expanse-8b,ru,0.4336283185840708
aya-expanse-8b,sw,0.036202735317779566
aya-expanse-8b,zh,0.3419147224456959
aya-expanse-8b,te,0.0
aya-expanse-8b,th,0.057924376508447305